Voltage[V]	Current[mA]
48.000000	-1.411902E-10
48.006000	-1.706924E-10
48.012000	-1.708972E-10
48.018000	-2.370723E-10
48.024000	-2.575599E-10
48.030000	-2.296968E-10
48.036000	-2.598136E-10
48.042000	-2.448577E-10
48.048000	-2.299017E-10
48.054000	-2.735403E-10
48.060000	-2.188383E-10
48.066000	-3.245545E-10
48.072000	-2.499795E-10
48.078000	-2.803012E-10
48.084000	-2.499794E-10
48.090000	-3.292667E-10
48.096000	-2.829646E-10
48.102000	-2.843988E-10
48.108000	-2.729256E-10
48.114000	-2.296967E-10
48.120000	-3.042717E-10
48.126000	-2.975108E-10
48.132000	-2.612476E-10
48.138000	-2.491600E-10
48.144000	-3.159496E-10
48.150000	-2.921840E-10
48.156000	-2.700574E-10
48.162000	-3.020182E-10
48.168000	-3.020181E-10
48.174000	-2.805060E-10
48.180000	-2.772281E-10
48.186000	-2.823499E-10
48.192000	-2.667793E-10
48.198000	-2.469063E-10
48.204000	-2.678037E-10
48.210000	-2.770233E-10
48.216000	-2.827597E-10
48.222000	-2.952571E-10
48.228000	-2.852182E-10
48.234000	-2.721062E-10
48.240000	-2.585843E-10
48.246000	-3.149254E-10
48.252000	-2.850134E-10
48.258000	-3.071400E-10
48.264000	-2.716963E-10
48.270000	-2.723110E-10
48.276000	-2.966913E-10
48.282000	-3.161546E-10
48.288000	-2.780475E-10
48.294000	-3.083693E-10
48.300000	-3.237349E-10
48.306000	-3.182033E-10
48.312000	-2.942328E-10
48.318000	-2.954621E-10
48.324000	-2.692378E-10
48.330000	-2.899304E-10
48.336000	-2.895206E-10
48.342000	-2.823500E-10
48.348000	-2.833744E-10
48.354000	-2.827598E-10
48.360000	-2.786621E-10
48.366000	-2.762038E-10
48.372000	-3.114424E-10
48.378000	-2.831694E-10
48.384000	-2.809158E-10
48.390000	-2.803012E-10
48.396000	-2.997645E-10
48.402000	-3.022229E-10
48.408000	-3.415592E-10
48.414000	-2.755891E-10
48.420000	-2.839890E-10
48.426000	-3.042717E-10
48.432000	-2.997644E-10
48.438000	-2.934132E-10
48.444000	-3.448373E-10
48.450000	-2.639111E-10
48.456000	-3.319299E-10
48.462000	-2.884963E-10
48.468000	-2.966913E-10
48.474000	-3.071400E-10
48.480000	-2.880865E-10
48.486000	-3.403300E-10
48.492000	-2.942328E-10
48.498000	-2.813255E-10
48.504000	-3.200472E-10
48.510000	-2.891109E-10
48.516000	-2.653452E-10
48.522000	-2.954621E-10
48.528000	-3.030424E-10
48.534000	-2.505942E-10
48.540000	-2.364576E-10
48.546000	-2.925937E-10
48.552000	-3.040667E-10
48.558000	-2.975107E-10
48.564000	-3.050913E-10
48.570000	-2.518234E-10
48.576000	-3.159496E-10
48.582000	-3.075498E-10
48.588000	-2.620672E-10
48.594000	-2.813255E-10
48.600000	-2.977156E-10
48.606000	-3.475005E-10
48.612000	-3.223007E-10
48.618000	-2.534624E-10
48.624000	-3.106228E-10
48.630000	-3.462713E-10
48.636000	-3.358227E-10
48.642000	-2.919791E-10
48.648000	-3.042717E-10
48.654000	-2.930035E-10
48.660000	-2.997644E-10
48.666000	-2.712865E-10
48.672000	-2.983303E-10
48.678000	-3.108276E-10
48.684000	-2.635012E-10
48.690000	-2.356382E-10
48.696000	-2.864474E-10
48.702000	-2.989449E-10
48.708000	-3.075497E-10
48.714000	-3.093935E-10
48.720000	-3.026325E-10
48.726000	-3.139009E-10
48.732000	-3.241446E-10
48.738000	-2.409649E-10
48.744000	-2.751793E-10
48.750000	-3.640955E-10
48.756000	-2.749744E-10
48.762000	-3.309056E-10
48.768000	-3.108277E-10
48.774000	-2.837841E-10
48.780000	-2.780475E-10
48.786000	-3.157448E-10
48.792000	-2.737451E-10
48.798000	-3.317251E-10
48.804000	-2.454722E-10
48.810000	-3.667590E-10
48.816000	-3.436080E-10
48.822000	-3.020181E-10
48.828000	-3.143107E-10
