Voltage[V]	Current[mA]
48.000000	5.576239E-6
48.006000	5.549532E-6
48.012000	5.531811E-6
48.018000	5.531594E-6
48.024000	5.524069E-6
48.030000	5.519024E-6
48.036000	5.506656E-6
48.042000	5.510135E-6
48.048000	5.503542E-6
48.054000	5.494734E-6
48.060000	5.496319E-6
48.066000	5.489457E-6
48.072000	5.476658E-6
48.078000	5.471644E-6
48.084000	5.474242E-6
48.090000	5.468308E-6
48.096000	5.462879E-6
48.102000	5.451675E-6
48.108000	5.446768E-6
48.114000	5.450716E-6
48.120000	5.458209E-6
48.126000	5.449571E-6
48.132000	5.445034E-6
48.138000	5.442288E-6
48.144000	5.447497E-6
48.150000	5.443874E-6
48.156000	5.455410E-6
48.162000	5.892030E-6
48.168000	5.952602E-6
48.174000	5.910520E-6
48.180000	6.167800E-6
48.186000	6.022805E-6
48.192000	6.423810E-6
48.198000	5.914313E-6
48.204000	5.771419E-6
48.210000	5.701988E-6
48.216000	5.665471E-6
48.222000	5.640111E-6
48.228000	5.599015E-6
48.234000	5.590969E-6
48.240000	5.570249E-6
48.246000	5.568079E-6
48.252000	5.552911E-6
48.258000	5.546116E-6
48.264000	5.533013E-6
48.270000	5.529554E-6
48.276000	5.522351E-6
48.282000	5.516584E-6
48.288000	5.518576E-6
48.294000	5.508873E-6
48.300000	5.504647E-6
48.306000	5.491872E-6
48.312000	5.489732E-6
48.318000	5.497508E-6
48.324000	5.488328E-6
48.330000	5.492844E-6
48.336000	5.500598E-6
48.342000	5.503662E-6
48.348000	5.519348E-6
48.354000	5.515777E-6
48.360000	5.518554E-6
48.366000	5.525322E-6
48.372000	5.530918E-6
48.378000	5.533744E-6
48.384000	5.531782E-6
48.390000	5.540246E-6
48.396000	5.543805E-6
48.402000	5.541887E-6
48.408000	5.537486E-6
48.414000	5.538201E-6
48.420000	5.532806E-6
48.426000	5.541444E-6
48.432000	5.546514E-6
48.438000	5.556011E-6
48.444000	5.540424E-6
48.450000	5.548603E-6
48.456000	5.543593E-6
48.462000	5.546292E-6
48.468000	5.555306E-6
48.474000	5.569424E-6
48.480000	5.560330E-6
48.486000	5.553148E-6
48.492000	5.544313E-6
48.498000	5.557543E-6
48.504000	5.552105E-6
48.510000	5.549713E-6
48.516000	5.549424E-6
48.522000	5.550109E-6
48.528000	5.545343E-6
48.534000	5.539702E-6
48.540000	5.537386E-6
48.546000	5.537427E-6
48.552000	5.532903E-6
48.558000	5.522199E-6
48.564000	5.527846E-6
48.570000	5.522529E-6
48.576000	5.526079E-6
48.582000	5.527333E-6
48.588000	5.520969E-6
48.594000	5.518065E-6
48.600000	5.523022E-6
48.606000	5.523394E-6
48.612000	5.515663E-6
48.618000	5.514511E-6
48.624000	5.510290E-6
48.630000	5.502112E-6
48.636000	5.502492E-6
48.642000	5.498729E-6
48.648000	5.490941E-6
48.654000	5.492964E-6
48.660000	5.494843E-6
48.666000	5.490567E-6
48.672000	5.488065E-6
48.678000	5.483215E-6
48.684000	5.481207E-6
48.690000	5.480853E-6
48.696000	5.482125E-6
48.702000	5.483539E-6
48.708000	5.483010E-6
48.714000	5.482126E-6
48.720000	5.481023E-6
48.726000	5.477722E-6
48.732000	5.478496E-6
48.738000	5.481765E-6
48.744000	5.479511E-6
48.750000	5.489241E-6
48.756000	5.492984E-6
48.762000	5.488296E-6
48.768000	5.487879E-6
48.774000	5.483595E-6
48.780000	5.480132E-6
48.786000	5.485418E-6
48.792000	5.475157E-6
48.798000	5.484359E-6
48.804000	5.488890E-6
48.810000	5.489555E-6
48.816000	5.488388E-6
48.822000	5.487100E-6
48.828000	5.501492E-6
48.834000	5.498736E-6
48.840000	5.503239E-6
48.846000	5.508569E-6
48.852000	5.505918E-6
48.858000	5.496473E-6
48.864000	5.506964E-6
48.870000	5.504390E-6
48.876000	5.511211E-6
48.882000	5.494047E-6
48.888000	5.492802E-6
48.894000	5.493780E-6
48.900000	5.483683E-6
48.906000	5.476039E-6
48.912000	5.479906E-6
48.918000	5.473206E-6
48.924000	5.464515E-6
48.930000	5.476327E-6
48.936000	5.461586E-6
48.942000	5.453298E-6
48.948000	5.448636E-6
48.954000	5.445804E-6
48.960000	5.433146E-6
48.966000	5.443356E-6
48.972000	5.434677E-6
48.978000	5.440507E-6
48.984000	5.434261E-6
48.990000	5.431041E-6
48.996000	5.436072E-6
49.002000	5.427713E-6
49.008000	5.429682E-6
49.014000	5.430324E-6
49.020000	5.430050E-6
49.026000	5.436424E-6
49.032000	5.435917E-6
49.038000	5.431235E-6
49.044000	5.424978E-6
49.050000	5.430035E-6
49.056000	5.429864E-6
49.062000	5.428625E-6
49.068000	5.425529E-6
49.074000	5.420810E-6
49.080000	5.434047E-6
49.086000	5.426758E-6
49.092000	5.423000E-6
49.098000	5.430238E-6
49.104000	5.428692E-6
49.110000	5.426001E-6
49.116000	5.431922E-6
49.122000	5.424082E-6
49.128000	5.428535E-6
49.134000	5.420766E-6
49.140000	5.410300E-6
49.146000	5.421323E-6
49.152000	5.419623E-6
49.158000	5.420930E-6
49.164000	5.415230E-6
49.170000	5.415198E-6
49.176000	5.409050E-6
49.182000	5.416235E-6
49.188000	5.420290E-6
49.194000	5.413820E-6
49.200000	5.411690E-6
49.206000	5.415458E-6
49.212000	5.414706E-6
49.218000	5.413448E-6
49.224000	5.414980E-6
49.230000	5.407061E-6
49.236000	5.423247E-6
49.242000	5.418412E-6
49.248000	6.989604E-6
49.254000	5.695314E-6
49.260000	5.585974E-6
49.266000	5.532418E-6
49.272000	5.517128E-6
49.278000	5.507952E-6
49.284000	5.512326E-6
49.290000	5.510148E-6
49.296000	6.104923E-6
49.302000	5.762016E-6
49.308000	5.687276E-6
49.314000	5.647119E-6
49.320000	5.619023E-6
49.326000	5.592640E-6
49.332000	5.562497E-6
49.338000	5.566107E-6
49.344000	5.547812E-6
49.350000	5.535016E-6
49.356000	5.532050E-6
49.362000	5.516615E-6
49.368000	5.501076E-6
49.374000	5.500092E-6
49.380000	5.492609E-6
49.386000	5.478830E-6
49.392000	5.489268E-6
49.398000	5.486611E-6
49.404000	5.490892E-6
49.410000	5.501346E-6
49.416000	5.489565E-6
49.422000	5.489663E-6
49.428000	5.500568E-6
49.434000	5.497792E-6
49.440000	5.493612E-6
49.446000	5.493703E-6
49.452000	5.496586E-6
49.458000	5.471651E-6
49.464000	5.461427E-6
49.470000	5.454079E-6
49.476000	5.461732E-6
49.482000	5.456920E-6
49.488000	5.457066E-6
49.494000	5.450964E-6
49.500000	5.444036E-6
49.506000	5.442090E-6
49.512000	5.442868E-6
49.518000	5.442229E-6
49.524000	5.451049E-6
49.530000	5.446732E-6
49.536000	5.455660E-6
49.542000	5.432444E-6
49.548000	5.445859E-6
49.554000	5.445353E-6
49.560000	5.452501E-6
49.566000	5.455503E-6
49.572000	5.459019E-6
49.578000	5.474103E-6
49.584000	5.485096E-6
49.590000	5.490512E-6
49.596000	5.497188E-6
49.602000	5.483396E-6
49.608000	5.486047E-6
49.614000	5.470939E-6
49.620000	5.487975E-6
49.626000	5.483403E-6
49.632000	5.483093E-6
49.638000	5.483637E-6
49.644000	5.490109E-6
49.650000	5.500197E-6
49.656000	5.496491E-6
49.662000	5.497885E-6
49.668000	5.492626E-6
49.674000	5.494463E-6
49.680000	5.492510E-6
49.686000	5.496685E-6
49.692000	5.499053E-6
49.698000	5.497919E-6
49.704000	5.494208E-6
49.710000	5.496669E-6
49.716000	5.498618E-6
49.722000	5.498394E-6
49.728000	5.502979E-6
49.734000	5.494225E-6
49.740000	5.498140E-6
49.746000	5.504429E-6
49.752000	5.496409E-6
49.758000	5.501518E-6
49.764000	5.506982E-6
49.770000	5.497367E-6
49.776000	5.487263E-6
49.782000	5.481115E-6
49.788000	5.488426E-6
49.794000	5.482376E-6
49.800000	5.489153E-6
49.806000	5.480047E-6
49.812000	5.476165E-6
49.818000	5.477697E-6
49.824000	5.474487E-6
49.830000	5.471138E-6
49.836000	5.476961E-6
49.842000	5.481255E-6
49.848000	5.472418E-6
49.854000	5.466579E-6
49.860000	5.472326E-6
49.866000	5.479271E-6
49.872000	5.482639E-6
49.878000	5.476908E-6
49.884000	5.485302E-6
49.890000	5.476946E-6
49.896000	5.477479E-6
49.902000	5.470292E-6
49.908000	5.471538E-6
49.914000	5.481290E-6
49.920000	5.478675E-6
49.926000	5.483873E-6
49.932000	5.477855E-6
49.938000	5.479125E-6
49.944000	5.474170E-6
49.950000	5.474643E-6
49.956000	5.477733E-6
49.962000	5.476305E-6
49.968000	5.482812E-6
49.974000	5.474713E-6
49.980000	5.472484E-6
49.986000	5.468126E-6
49.992000	5.466934E-6
49.998000	5.458127E-6
50.004000	5.465520E-6
50.010000	5.473508E-6
50.016000	5.470203E-6
50.022000	5.466796E-6
50.028000	5.466377E-6
50.034000	5.459595E-6
50.040000	5.466272E-6
50.046000	5.464988E-6
50.052000	5.468258E-6
50.058000	5.461358E-6
50.064000	5.455893E-6
50.070000	5.461174E-6
50.076000	5.465636E-6
50.082000	5.466181E-6
50.088000	5.466159E-6
50.094000	5.465596E-6
50.100000	5.474186E-6
50.106000	5.475287E-6
50.112000	5.476317E-6
50.118000	5.484580E-6
50.124000	5.479152E-6
50.130000	5.473807E-6
50.136000	5.475973E-6
50.142000	5.475278E-6
50.148000	5.475500E-6
50.154000	5.472126E-6
50.160000	5.472691E-6
50.166000	5.476622E-6
